Folder,EdsFile,CIP Vendor,CIP Product Type,CIP Product Code,Revision,ProdType,ProdTypeStr,DescText,MajRev,MinRev,Catalog
ControlNet,0001008400090100.eds,0001,132,9,1.1,132,Compact IO/DSI,PowerFlex 525,1,1,25B...
ControlNet,0001008400090200.eds,0001,132,9,1.1,132,Compact IO/DSI,PowerFlex 525,2,1,25B...
ControlNet,0001008400090300.eds,0001,132,9,1.1,132,Compact IO/DSI,PowerFlex 525,3,1,25B...
ControlNet,0001008400090400.eds,0001,132,9,1.1,132,Compact IO/DSI,PowerFlex 525,4,1,25B...
ControlNet,0001008400090500.eds,0001,132,9,1.1,132,Compact IO/DSI,PowerFlex 525,5,1,25B...
ControlNet,0001008800090100.eds,0001,136,9,1.1,136,DSI to ControlNet,PowerFlex 525,1,1,25B...
ControlNet,0001008800090200.eds,0001,136,9,1.1,136,DSI to ControlNet,PowerFlex 525,2,1,25B...
ControlNet,0001008800090300.eds,0001,136,9,1.1,136,DSI to ControlNet,PowerFlex 525,3,1,25B...
ControlNet,0001008800090400.eds,0001,136,9,1.1,136,DSI to ControlNet,PowerFlex 525,4,1,25B...
ControlNet,0001008800090500.eds,0001,136,9,1.1,136,DSI to ControlNet,PowerFlex 525,5,1,25B...
EtherNetIP,0001007F00090100.eds,0001,127,9,1.1,127,DSI to EtherNet/IP,PowerFlex 525,1,1,25B...
EtherNetIP,0001007F00090200.eds,0001,127,9,1.1,127,DSI to EtherNet/IP,PowerFlex 525,2,1,25B...
EtherNetIP,0001007F00090300.eds,0001,127,9,1.1,127,DSI to EtherNet/IP,PowerFlex 525,3,1,25B...
EtherNetIP,0001007F00090400.eds,0001,127,9,1.1,127,DSI to EtherNet/IP,PowerFlex 525,4,1,25B...
EtherNetIP,0001007F00090500.eds,0001,127,9,1.1,127,DSI to EtherNet/IP,PowerFlex 525,5,1,25B...
EtherNetIP,0001009600090100.eds,0001,150,9,1.1,336,PowerFlex 525 Embedded EtherNet/IP,PowerFlex 525 - Single-Drive Mode,1,3,25B...
EtherNetIP,0001009600090200.eds,0001,150,9,1.1,336,PowerFlex 525 Embedded EtherNet/IP,PowerFlex 525 - Single-Drive Mode,2,1,25B...
EtherNetIP,0001009600090300.eds,0001,150,9,1.1,336,PowerFlex 525 Embedded EtherNet/IP,PowerFlex 525 - Single-Drive Mode,3,1,25B...
EtherNetIP,0001009600090400.eds,0001,150,9,1.1,336,PowerFlex 525 Embedded EtherNet/IP,PowerFlex 525 - Single-Drive Mode,4,1,25B...
